MTU (CET/CEST),Day-ahead Price [EUR/MWh],Currency,BZN|DE-LU
12.06.2024 03:00 - 12.06.2024 04:00,82.11,EUR,
12.06.2024 04:00 - 12.06.2024 05:00,86.11,EUR,
12.06.2024 05:00 - 12.06.2024 06:00,94.65,EUR,
12.06.2024 06:00 - 12.06.2024 07:00,124.74,EUR,
12.06.2024 07:00 - 12.06.2024 08:00,136.4,EUR,
12.06.2024 08:00 - 12.06.2024 09:00,114.62,EUR,
12.06.2024 09:00 - 12.06.2024 10:00,78.65,EUR,
12.06.2024 10:00 - 12.06.2024 11:00,64.19,EUR,
12.06.2024 11:00 - 12.06.2024 12:00,58,EUR,
12.06.2024 12:00 - 12.06.2024 13:00,42.09,EUR,
12.06.2024 13:00 - 12.06.2024 14:00,40.72,EUR,
12.06.2024 14:00 - 12.06.2024 15:00,39.68,EUR,
12.06.2024 15:00 - 12.06.2024 16:00,45.34,EUR,
12.06.2024 16:00 - 12.06.2024 17:00,63,EUR,
12.06.2024 17:00 - 12.06.2024 18:00,81.2,EUR,
12.06.2024 18:00 - 12.06.2024 19:00,99.95,EUR,
12.06.2024 19:00 - 12.06.2024 20:00,135.7,EUR,
12.06.2024 20:00 - 12.06.2024 21:00,154.34,EUR,
12.06.2024 21:00 - 12.06.2024 22:00,154.66,EUR,
12.06.2024 22:00 - 12.06.2024 23:00,130.88,EUR,
12.06.2024 23:00 - 13.06.2024 00:00,107.07,EUR,
13.06.2024 00:00 - 13.06.2024 01:00,99,EUR,
13.06.2024 01:00 - 13.06.2024 02:00,93.26,EUR,
13.06.2024 02:00 - 13.06.2024 03:00,84.19,EUR,
13.06.2024 03:00 - 13.06.2024 04:00,85.21,EUR,
13.06.2024 04:00 - 13.06.2024 05:00,83.83,EUR,
13.06.2024 05:00 - 13.06.2024 06:00,98.96,EUR,
13.06.2024 06:00 - 13.06.2024 07:00,122.41,EUR,
13.06.2024 07:00 - 13.06.2024 08:00,131.09,EUR,
13.06.2024 08:00 - 13.06.2024 09:00,115.02,EUR,
13.06.2024 09:00 - 13.06.2024 10:00,83.8,EUR,
13.06.2024 10:00 - 13.06.2024 11:00,69.01,EUR,
13.06.2024 11:00 - 13.06.2024 12:00,61.71,EUR,
13.06.2024 12:00 - 13.06.2024 13:00,53.36,EUR,
13.06.2024 13:00 - 13.06.2024 14:00,46.96,EUR,
13.06.2024 14:00 - 13.06.2024 15:00,43.35,EUR,
13.06.2024 15:00 - 13.06.2024 16:00,53.74,EUR,
13.06.2024 16:00 - 13.06.2024 17:00,77.42,EUR,
13.06.2024 17:00 - 13.06.2024 18:00,80.08,EUR,
13.06.2024 18:00 - 13.06.2024 19:00,106.91,EUR,
13.06.2024 19:00 - 13.06.2024 20:00,139.66,EUR,
13.06.2024 20:00 - 13.06.2024 21:00,188.35,EUR,
13.06.2024 21:00 - 13.06.2024 22:00,163.84,EUR,
13.06.2024 22:00 - 13.06.2024 23:00,108.37,EUR,
13.06.2024 23:00 - 14.06.2024 00:00,85.18,EUR,
14.06.2024 00:00 - 14.06.2024 01:00,83.13,EUR,
14.06.2024 01:00 - 14.06.2024 02:00,71.45,EUR,
14.06.2024 02:00 - 14.06.2024 03:00,63.93,EUR,
14.06.2024 03:00 - 14.06.2024 04:00,59.53,EUR,
14.06.2024 04:00 - 14.06.2024 05:00,55.82,EUR,
14.06.2024 05:00 - 14.06.2024 06:00,64.22,EUR,
14.06.2024 06:00 - 14.06.2024 07:00,85.01,EUR,
14.06.2024 07:00 - 14.06.2024 08:00,100.95,EUR,
14.06.2024 08:00 - 14.06.2024 09:00,104.99,EUR,
14.06.2024 09:00 - 14.06.2024 10:00,102.54,EUR,
14.06.2024 10:00 - 14.06.2024 11:00,82.18,EUR,
14.06.2024 11:00 - 14.06.2024 12:00,68.1,EUR,
14.06.2024 12:00 - 14.06.2024 13:00,60.88,EUR,
14.06.2024 13:00 - 14.06.2024 14:00,47.46,EUR,
14.06.2024 14:00 - 14.06.2024 15:00,40.74,EUR,
14.06.2024 15:00 - 14.06.2024 16:00,41,EUR,
14.06.2024 16:00 - 14.06.2024 17:00,60.31,EUR,
14.06.2024 17:00 - 14.06.2024 18:00,75,EUR,
14.06.2024 18:00 - 14.06.2024 19:00,90.98,EUR,
14.06.2024 19:00 - 14.06.2024 20:00,136,EUR,
14.06.2024 20:00 - 14.06.2024 21:00,127.31,EUR,
14.06.2024 21:00 - 14.06.2024 22:00,117.12,EUR,
14.06.2024 22:00 - 14.06.2024 23:00,83.41,EUR,
14.06.2024 23:00 - 15.06.2024 00:00,59.42,EUR,
15.06.2024 00:00 - 15.06.2024 01:00,60.68,EUR,
15.06.2024 01:00 - 15.06.2024 02:00,41.04,EUR,
15.06.2024 02:00 - 15.06.2024 03:00,29.97,EUR,
15.06.2024 03:00 - 15.06.2024 04:00,28.86,EUR,
15.06.2024 04:00 - 15.06.2024 05:00,22.51,EUR,
15.06.2024 05:00 - 15.06.2024 06:00,10.04,EUR,
15.06.2024 06:00 - 15.06.2024 07:00,1.54,EUR,
15.06.2024 07:00 - 15.06.2024 08:00,0.09,EUR,
15.06.2024 08:00 - 15.06.2024 09:00,0,EUR,
15.06.2024 09:00 - 15.06.2024 10:00,-0.06,EUR,
15.06.2024 10:00 - 15.06.2024 11:00,-10.08,EUR,
15.06.2024 11:00 - 15.06.2024 12:00,-29.04,EUR,
15.06.2024 12:00 - 15.06.2024 13:00,-44.92,EUR,
15.06.2024 13:00 - 15.06.2024 14:00,-65.46,EUR,
15.06.2024 14:00 - 15.06.2024 15:00,-80.01,EUR,
15.06.2024 15:00 - 15.06.2024 16:00,-56.23,EUR,
15.06.2024 16:00 - 15.06.2024 17:00,-29.53,EUR,
15.06.2024 17:00 - 15.06.2024 18:00,-4.84,EUR,
15.06.2024 18:00 - 15.06.2024 19:00,-0.01,EUR,
15.06.2024 19:00 - 15.06.2024 20:00,40,EUR,
15.06.2024 20:00 - 15.06.2024 21:00,84.28,EUR,
15.06.2024 21:00 - 15.06.2024 22:00,79.92,EUR,
15.06.2024 22:00 - 15.06.2024 23:00,64.3,EUR,
15.06.2024 23:00 - 16.06.2024 00:00,40.4,EUR,
16.06.2024 00:00 - 16.06.2024 01:00,24.91,EUR,
16.06.2024 01:00 - 16.06.2024 02:00,10.36,EUR,
16.06.2024 02:00 - 16.06.2024 03:00,4.92,EUR,
16.06.2024 03:00 - 16.06.2024 04:00,2.92,EUR,
16.06.2024 04:00 - 16.06.2024 05:00,2.19,EUR,
16.06.2024 05:00 - 16.06.2024 06:00,2.53,EUR,
16.06.2024 06:00 - 16.06.2024 07:00,2.95,EUR,
16.06.2024 07:00 - 16.06.2024 08:00,0.69,EUR,
16.06.2024 08:00 - 16.06.2024 09:00,-0.02,EUR,
16.06.2024 09:00 - 16.06.2024 10:00,-1.28,EUR,
16.06.2024 10:00 - 16.06.2024 11:00,-10,EUR,
16.06.2024 11:00 - 16.06.2024 12:00,-13.33,EUR,
16.06.2024 12:00 - 16.06.2024 13:00,-20.01,EUR,
16.06.2024 13:00 - 16.06.2024 14:00,-30.01,EUR,
16.06.2024 14:00 - 16.06.2024 15:00,-35.67,EUR,
16.06.2024 15:00 - 16.06.2024 16:00,-29.04,EUR,
16.06.2024 16:00 - 16.06.2024 17:00,-10.14,EUR,
16.06.2024 17:00 - 16.06.2024 18:00,-2.34,EUR,
16.06.2024 18:00 - 16.06.2024 19:00,56.22,EUR,
16.06.2024 19:00 - 16.06.2024 20:00,99.65,EUR,
16.06.2024 20:00 - 16.06.2024 21:00,119.15,EUR,
16.06.2024 21:00 - 16.06.2024 22:00,124.28,EUR,
16.06.2024 22:00 - 16.06.2024 23:00,120.34,EUR,
16.06.2024 23:00 - 17.06.2024 00:00,94.44,EUR,
17.06.2024 00:00 - 17.06.2024 01:00,76.62,EUR,
17.06.2024 01:00 - 17.06.2024 02:00,66.73,EUR,
17.06.2024 02:00 - 17.06.2024 03:00,68.81,EUR,
17.06.2024 03:00 - 17.06.2024 04:00,71.81,EUR,
17.06.2024 04:00 - 17.06.2024 05:00,73.56,EUR,
17.06.2024 05:00 - 17.06.2024 06:00,90.02,EUR,
17.06.2024 06:00 - 17.06.2024 07:00,119.13,EUR,
17.06.2024 07:00 - 17.06.2024 08:00,132.68,EUR,
17.06.2024 08:00 - 17.06.2024 09:00,116.23,EUR,
17.06.2024 09:00 - 17.06.2024 10:00,84.73,EUR,
17.06.2024 10:00 - 17.06.2024 11:00,62.11,EUR,
17.06.2024 11:00 - 17.06.2024 12:00,55.01,EUR,
17.06.2024 12:00 - 17.06.2024 13:00,41.86,EUR,
17.06.2024 13:00 - 17.06.2024 14:00,39.45,EUR,
17.06.2024 14:00 - 17.06.2024 15:00,46.62,EUR,
17.06.2024 15:00 - 17.06.2024 16:00,54.54,EUR,
17.06.2024 16:00 - 17.06.2024 17:00,64.21,EUR,
17.06.2024 17:00 - 17.06.2024 18:00,88.58,EUR,
17.06.2024 18:00 - 17.06.2024 19:00,114.16,EUR,
17.06.2024 19:00 - 17.06.2024 20:00,157.37,EUR,
17.06.2024 20:00 - 17.06.2024 21:00,210.16,EUR,
17.06.2024 21:00 - 17.06.2024 22:00,200.01,EUR,
17.06.2024 22:00 - 17.06.2024 23:00,128.15,EUR,
17.06.2024 23:00 - 18.06.2024 00:00,101.55,EUR,
18.06.2024 00:00 - 18.06.2024 01:00,96.92,EUR,
18.06.2024 01:00 - 18.06.2024 02:00,90.29,EUR,
18.06.2024 02:00 - 18.06.2024 03:00,87.53,EUR,
18.06.2024 03:00 - 18.06.2024 04:00,89.29,EUR,
18.06.2024 04:00 - 18.06.2024 05:00,90.29,EUR,
18.06.2024 05:00 - 18.06.2024 06:00,95.94,EUR,
18.06.2024 06:00 - 18.06.2024 07:00,134.49,EUR,
18.06.2024 07:00 - 18.06.2024 08:00,130.17,EUR,
18.06.2024 08:00 - 18.06.2024 09:00,95.96,EUR,
